NP;N;M;G;Time
1;5000;5000;100;223,209125
2;5000;5000;100;123,827289
3;5000;5000;100;121,027490
4;5000;5000;100;113,604853
5;5000;5000;100;123,604939
6;5000;5000;100;113,849365
7;5000;5000;100;147,173394
8;5000;5000;100;122,011927
9;5000;5000;100;124,471075
10;5000;5000;100;126,328767
11;5000;5000;100;107,006146
12;5000;5000;100;100,630846
13;5000;5000;100;105,320659
14;5000;5000;100;112,168924
15;5000;5000;100;105,916781
16;5000;5000;100;96,882274
17;5000;5000;100;98,016830
18;5000;5000;100;96,184693
19;5000;5000;100;101,676141
20;5000;5000;100;121,415351
21;5000;5000;100;96,534405
22;5000;5000;100;94,838636
23;5000;5000;100;92,213346
24;5000;5000;100;93,479964
