NP;N;M;G;Time
1;200;200;100;2,250528
2;200;200;100;1,190663
3;200;200;100;0,936882
4;200;200;100;0,731134
5;200;200;100;1,150701
6;200;200;100;1,136406
7;200;200;100;1,963700
8;200;200;100;1,708712
9;200;200;100;1,803470
10;200;200;100;1,502679
11;200;200;100;1,750049
12;200;200;100;1,515212
13;200;200;100;1,940339
14;200;200;100;1,880996
15;200;200;100;1,854795
16;200;200;100;1,738390
17;200;200;100;1,514184
18;200;200;100;1,583574
19;200;200;100;1,572801
20;200;200;100;1,592471
21;200;200;100;1,791263
22;200;200;100;1,006926
23;200;200;100;1,601864
24;200;200;100;1,581833
