NP;N;M;G;Time
1;2000;2000;100;50,416215
2;2000;2000;100;21,133628
3;2000;2000;100;19,038598
4;2000;2000;100;23,343083
5;2000;2000;100;29,243029
6;2000;2000;100;30,750080
7;2000;2000;100;31,604838
8;2000;2000;100;33,798260
9;2000;2000;100;32,635599
10;2000;2000;100;29,676561
11;2000;2000;100;30,755140
12;2000;2000;100;29,220333
13;2000;2000;100;35,640628
14;2000;2000;100;34,555361
15;2000;2000;100;32,289701
16;2000;2000;100;28,642881
17;2000;2000;100;34,780355
18;2000;2000;100;33,765896
19;2000;2000;100;33,256114
20;2000;2000;100;29,259126
21;2000;2000;100;27,465854
22;2000;2000;100;28,078264
23;2000;2000;100;35,937280
24;2000;2000;100;28,392797
