NP;N;M;G;Time
1;2000;1000;10;12,537942
2;4000;1000;10;14,880303
3;6000;1000;10;17,862848
4;8000;1000;10;22,008961
5;10000;1000;10;17,099611
6;12000;1000;10;22,566024
7;14000;1000;10;22,578913
8;16000;1000;10;32,321649
9;18000;1000;10;36,508381
10;20000;1000;10;39,118355
11;22000;1000;10;42,665648
12;24000;1000;10;41,687761
13;26000;1000;10;47,814642
14;28000;1000;10;47,003628
15;30000;1000;10;55,467449
16;32000;1000;10;58,797318
17;34000;1000;10;61,207785
18;36000;1000;10;55,029393
19;38000;1000;10;67,186860
20;40000;1000;10;69,552998
21;42000;1000;10;68,136833
22;44000;1000;10;68,894931
23;46000;1000;10;74,832596
24;48000;1000;10;78,299279
