NP;N;M;G;Time
1;100;100;10;0,062272
2;200;100;10;0,076521
3;300;100;10;0,096809
4;400;100;10;0,113171
5;500;100;10;0,264489
6;600;100;10;0,271133
7;700;100;10;0,312074
8;800;100;10;0,321343
9;900;100;10;0,374989
10;1000;100;10;0,400125
11;1100;100;10;0,401569
12;1200;100;10;0,434209
13;1300;100;10;0,473309
14;1400;100;10;0,493499
15;1500;100;10;0,517310
16;1600;100;10;0,531639
17;1700;100;10;0,541759
18;1800;100;10;0,589533
19;1900;100;10;0,531445
20;2000;100;10;0,547605
21;2100;100;10;0,619422
22;2200;100;10;0,638688
23;2300;100;10;0,676652
24;2400;100;10;0,697079
